old,new,action,reason
https://immigratetobrazil.com/pt-br/process/refund/,https://immigratetobrazil.com/pt-br/legal/refund/,CONDITIONAL ONLY — no redirect until evidence review,Service refund conditions
https://immigratetobrazil.com/rights/refund/,https://immigratetobrazil.com/legal/refund/,CONDITIONAL ONLY — no redirect until evidence review,Service refund rights
https://immigratetobrazil.com/pt-br/rights/refund/,https://immigratetobrazil.com/pt-br/legal/refund/,CONDITIONAL ONLY — no redirect until evidence review,Service refund rights
https://immigratetobrazil.com/services/advisory/consultation/,https://immigratetobrazil.com/process/consultation/,CONDITIONAL ONLY — no redirect until evidence review,Consultation offer versus explanation
https://immigratetobrazil.com/pt-br/services/advisory/consultation/,https://immigratetobrazil.com/pt-br/process/consultation/,CONDITIONAL ONLY — no redirect until evidence review,Consultation offer versus explanation
https://immigratetobrazil.com/rights/regularization/,https://immigratetobrazil.com/process/regularization/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/regularization/,https://immigratetobrazil.com/pt-br/process/regularization/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/rights/timeline/,https://immigratetobrazil.com/process/timeline/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/timeline/,https://immigratetobrazil.com/pt-br/process/timeline/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/rights/strategy/,https://immigratetobrazil.com/process/strategy/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/strategy/,https://immigratetobrazil.com/pt-br/process/strategy/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/rights/planning/,https://immigratetobrazil.com/process/planning/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/planning/,https://immigratetobrazil.com/pt-br/process/planning/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/rights/responsibilities/,https://immigratetobrazil.com/process/responsibilities/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/responsibilities/,https://immigratetobrazil.com/pt-br/process/responsibilities/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/rights/obligations/,https://immigratetobrazil.com/process/obligations/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/obligations/,https://immigratetobrazil.com/pt-br/process/obligations/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/rights/permanent/,https://immigratetobrazil.com/process/permanent/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/permanent/,https://immigratetobrazil.com/pt-br/process/permanent/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/rights/transparency/,https://immigratetobrazil.com/process/transparency/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/transparency/,https://immigratetobrazil.com/pt-br/process/transparency/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/rights/naturalisation/,https://immigratetobrazil.com/process/naturalisation/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/naturalisation/,https://immigratetobrazil.com/pt-br/process/naturalisation/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/rights/renewal/,https://immigratetobrazil.com/process/renewal/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
https://immigratetobrazil.com/pt-br/rights/renewal/,https://immigratetobrazil.com/pt-br/process/renewal/,CONDITIONAL ONLY — no redirect until evidence review,Rights versus procedural guidance
