page_a,page_b,overlapping_intent,overlapping_query,severity,evidence,solution,precondition
https://immigratetobrazil.com/process/refund/,https://immigratetobrazil.com/legal/refund/,Service refund conditions,Monique Fernandes refund,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/process/refund/,https://immigratetobrazil.com/pt-br/legal/refund/,Service refund conditions,Monique Fernandes refund,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/refund/,https://immigratetobrazil.com/legal/refund/,Service refund rights,immigration consultation refund,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/refund/,https://immigratetobrazil.com/pt-br/legal/refund/,Service refund rights,immigration consultation refund,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/services/advisory/consultation/,https://immigratetobrazil.com/process/consultation/,Consultation offer versus explanation,Brazil immigration consultation,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/services/advisory/consultation/,https://immigratetobrazil.com/pt-br/process/consultation/,Consultation offer versus explanation,Brazil immigration consultation,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/regularization/,https://immigratetobrazil.com/process/regularization/,Rights versus procedural guidance,regularization Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/regularization/,https://immigratetobrazil.com/pt-br/process/regularization/,Rights versus procedural guidance,regularization Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/timeline/,https://immigratetobrazil.com/process/timeline/,Rights versus procedural guidance,timeline Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/timeline/,https://immigratetobrazil.com/pt-br/process/timeline/,Rights versus procedural guidance,timeline Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/strategy/,https://immigratetobrazil.com/process/strategy/,Rights versus procedural guidance,strategy Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/strategy/,https://immigratetobrazil.com/pt-br/process/strategy/,Rights versus procedural guidance,strategy Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/planning/,https://immigratetobrazil.com/process/planning/,Rights versus procedural guidance,planning Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/planning/,https://immigratetobrazil.com/pt-br/process/planning/,Rights versus procedural guidance,planning Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/responsibilities/,https://immigratetobrazil.com/process/responsibilities/,Rights versus procedural guidance,responsibilities Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/responsibilities/,https://immigratetobrazil.com/pt-br/process/responsibilities/,Rights versus procedural guidance,responsibilities Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/obligations/,https://immigratetobrazil.com/process/obligations/,Rights versus procedural guidance,obligations Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/obligations/,https://immigratetobrazil.com/pt-br/process/obligations/,Rights versus procedural guidance,obligations Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/permanent/,https://immigratetobrazil.com/process/permanent/,Rights versus procedural guidance,permanent Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/permanent/,https://immigratetobrazil.com/pt-br/process/permanent/,Rights versus procedural guidance,permanent Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/transparency/,https://immigratetobrazil.com/process/transparency/,Rights versus procedural guidance,transparency Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/transparency/,https://immigratetobrazil.com/pt-br/process/transparency/,Rights versus procedural guidance,transparency Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/naturalisation/,https://immigratetobrazil.com/process/naturalisation/,Rights versus procedural guidance,naturalisation Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/naturalisation/,https://immigratetobrazil.com/pt-br/process/naturalisation/,Rights versus procedural guidance,naturalisation Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/rights/renewal/,https://immigratetobrazil.com/process/renewal/,Rights versus procedural guidance,renewal Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/rights/renewal/,https://immigratetobrazil.com/pt-br/process/renewal/,Rights versus procedural guidance,renewal Brazil immigration,MEDIUM,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
